X,Y,SPECIES NAME
4531500,2741500,Acer pseudoplatanus
4223500,2862500,Acer pseudoplatanus
4535500,2733500,Acer pseudoplatanus
4200500,2798500,Acer pseudoplatanus
4312500,3473500,Acer pseudoplatanus
4166500,2731500,Acer pseudoplatanus
4166500,2791500,Acer pseudoplatanus
4206500,2760500,Acer pseudoplatanus
4289500,2835500,Acer pseudoplatanus
4096500,3109500,Acer pseudoplatanus
4224500,2942500,Acer pseudoplatanus
4260500,2923500,Acer pseudoplatanus
4389500,2801500,Acer pseudoplatanus
4304500,2731500,Acer pseudoplatanus
4336500,3196500,Acer pseudoplatanus
4538500,3435500,Acer pseudoplatanus
4298000,2747000,Acer pseudoplatanus
4198500,2886500,Acer pseudoplatanus
4430500,2762500,Acer pseudoplatanus
4103500,3001500,Acer pseudoplatanus
4165500,2727500,Acer pseudoplatanus
4556500,3496500,Acer pseudoplatanus
4271500,2845500,Acer pseudoplatanus
4513500,3450500,Acer pseudoplatanus
4342500,2764500,Acer pseudoplatanus
4178500,3052500,Acer pseudoplatanus
4268500,2891500,Acer pseudoplatanus
4255500,2851500,Acer pseudoplatanus
4274500,3091000,Acer pseudoplatanus
4186500,3064500,Acer pseudoplatanus
4338500,2776500,Acer pseudoplatanus
4228500,2774500,Acer pseudoplatanus
4390500,3431500,Acer pseudoplatanus
4188500,3058500,Acer pseudoplatanus
4388500,3433500,Acer pseudoplatanus
4238500,2788500,Acer pseudoplatanus
4250500,2795500,Acer pseudoplatanus
4365500,3256500,Acer pseudoplatanus
4173500,2818500,Acer pseudoplatanus
4567500,2874500,Acer pseudoplatanus
4482500,3141500,Acer pseudoplatanus
4079500,3016500,Acer pseudoplatanus
4199500,3118500,Acer pseudoplatanus
4348500,3368500,Acer pseudoplatanus
4222500,2912500,Acer pseudoplatanus
4265500,2821500,Acer pseudoplatanus
4282500,3029500,Acer pseudoplatanus
4466500,2783500,Acer pseudoplatanus
4326500,2740500,Acer pseudoplatanus
4503500,3404500,Acer pseudoplatanus
4187500,2808500,Acer pseudoplatanus
4320500,2932500,Acer pseudoplatanus
4309500,2811500,Acer pseudoplatanus
4236500,2772500,Acer pseudoplatanus
4521500,2820500,Acer pseudoplatanus
4450500,2902500,Acer pseudoplatanus
4352500,2924500,Acer pseudoplatanus
4122500,3036500,Acer pseudoplatanus
4519500,3114500,Acer pseudoplatanus
4162500,2759500,Acer pseudoplatanus
