X,Y,SPECIES NAME
4342500,2740500,Picea abies
4349500,2834500,Picea abies
4332500,2794500,Picea abies
4218500,2746500,Picea abies
4367500,3396500,Picea abies
4268500,2761500,Picea abies
4562500,3066500,Picea abies
4211500,3142500,Picea abies
4329500,3130500,Picea abies
4172500,2746500,Picea abies
4236500,2758500,Picea abies
4170500,3068500,Picea abies
4395500,2729500,Picea abies
4164500,3089500,Picea abies
4182500,2742500,Picea abies
4272500,3367500,Picea abies
4312500,2877500,Picea abies
4200500,2764500,Picea abies
4399500,3161500,Picea abies
4223500,3134500,Picea abies
4254500,3081500,Picea abies
4417500,2806500,Picea abies
4207500,3138500,Picea abies
4552500,3059500,Picea abies
4144500,3285500,Picea abies
4383500,3181500,Picea abies
4355500,3181500,Picea abies
4346500,2910500,Picea abies
4231500,2842500,Picea abies
4567500,3080500,Picea abies
4490500,2748500,Picea abies
4322500,2766500,Picea abies
4150500,3067500,Picea abies
4179500,3134500,Picea abies
4203500,3130500,Picea abies
4115500,3042500,Picea abies
4435500,3034500,Picea abies
4180500,2766500,Picea abies
4407500,3033500,Picea abies
4278500,2729500,Picea abies
4341500,2692500,Picea abies
4370500,3072500,Picea abies
4249500,3391500,Picea abies
4207500,3142500,Picea abies
4190500,3054500,Picea abies
4379500,3181500,Picea abies
4402500,2749500,Picea abies
4459500,3039500,Picea abies
4135500,3228500,Picea abies
4556500,3075500,Picea abies
4314500,2731500,Picea abies
4537500,2801500,Picea abies
4486500,3075500,Picea abies
4282500,2771500,Picea abies
4273500,2805500,Picea abies
4049500,3010500,Picea abies
4130500,2949500,Picea abies
4337500,2700500,Picea abies
4378500,2823500,Picea abies
4347500,2852500,Picea abies
4337500,2864500,Picea abies
4155500,3139500,Picea abies
4440500,3056500,Picea abies
4484500,2823500,Picea abies
4322500,2894500,Picea abies
4345500,2864500,Picea abies
4337500,2830500,Picea abies
4178500,3056500,Picea abies
4099500,3017500,Picea abies
4435500,3038500,Picea abies
4154500,3091500,Picea abies
4385500,3031500,Picea abies
4081500,3016500,Picea abies
4185500,2998500,Picea abies
4202500,3094500,Picea abies
4110500,3035500,Picea abies
4075500,3012500,Picea abies
4274500,2773500,Picea abies
4342500,2906500,Picea abies
4119500,2928500,Picea abies
4162500,3099500,Picea abies
4175500,3130500,Picea abies
4531500,2897500,Picea abies
4579500,2874500,Picea abies
4307500,3445500,Picea abies
4330500,2880500,Picea abies
4159500,3111500,Picea abies
4148500,3059500,Picea abies
4407500,2811500,Picea abies
4286500,2915500,Picea abies
4498500,3444500,Picea abies
4618500,3103500,Picea abies
4178500,3046500,Picea abies
4183500,2806500,Picea abies
4167500,2721500,Picea abies
4246500,2779500,Picea abies
4187500,3138500,Picea abies
4338500,2874500,Picea abies
4394500,2757500,Picea abies
4355500,3180500,Picea abies
4572500,3411500,Picea abies
4373500,2804500,Picea abies
4342500,3088500,Picea abies
4072500,3025500,Picea abies
4107500,2973500,Picea abies
4147500,3123500,Picea abies
4274500,2765500,Picea abies
4378500,3061500,Picea abies
4248500,2917500,Picea abies
4206500,3078500,Picea abies
4067500,3003500,Picea abies
